AR;HARPNUM;Date;Time;SPOCA_mask_file_name;
12549;6585;2016-06-01;22:59:46;2016_06_01__22_59_46_34__SDO_AIA_AIA_171a;
12550;6591;2016-06-01;22:59:46;2016_06_01__22_59_46_34__SDO_AIA_AIA_171b;
12551;6576;2016-06-01;22:59:46;2016_06_01__22_59_46_34__SDO_AIA_AIA_171c;
12550;6591;2016-06-02;22:59:58;2016_06_02__22_59_58_34__SDO_AIA_AIA_171;
0;0;2016-06-03;22:59:46;2016_06_03__22_59_46_35__SDO_AIA_AIA_171;
0;0;2016-06-04;23:00:10;2016_06_04__23_00_10_34__SDO_AIA_AIA_171;
0;0;2016-06-05;23:00:10;2016_06_05__23_00_10_35__SDO_AIA_AIA_171;
0;0;2016-06-06;23:00:10;2016_06_06__23_00_10_34__SDO_AIA_AIA_171;
0;0;2016-06-07;23:00:10;2016_06_07__23_00_10_35__SDO_AIA_AIA_171;
12552;6599;2016-06-08;23:00:10;2016_06_08__23_00_10_35__SDO_AIA_AIA_171;
12552;6599;2016-06-09;23:00:10;2016_06_09__23_00_10_34__SDO_AIA_AIA_171;
15553;6613;2016-06-10;23:00:10;2016_06_10__23_00_10_34__SDO_AIA_AIA_171a;
12552;6599;2016-06-10;23:00:10;2016_06_10__23_00_10_34__SDO_AIA_AIA_171b;
12552;6599;2016-06-11;23:00:10;2016_06_11__23_00_10_34__SDO_AIA_AIA_171a;
12553;6613;2016-06-11;23:00:10;2016_06_11__23_00_10_34__SDO_AIA_AIA_171b;
12554;6615;2016-06-11;23:00:10;2016_06_11__23_00_10_34__SDO_AIA_AIA_171c;
12553;6613;2016-06-12;23:00:10;2016_06_12__23_00_10_34__SDO_AIA_AIA_171a;
12554;6615;2016-06-12;23:00:10;2016_06_12__23_00_10_34__SDO_AIA_AIA_171b;
12553;6613;2016-06-13;23:00:10;2016_06_13__23_00_10_34__SDO_AIA_AIA_171a;
12554;6615;2016-06-13;23:00:10;2016_06_13__23_00_10_34__SDO_AIA_AIA_171b;
12553;6613;2016-06-14;22:59:46;2016_06_14__22_59_46_34__SDO_AIA_AIA_171a;
12554;6615;2016-06-14;22:59:46;2016_06_14__22_59_46_34__SDO_AIA_AIA_171b;
12553;6613;2016-06-15;22:59:58;2016_06_15__22_59_58_34__SDO_AIA_AIA_171;
12553;6613;2016-06-16;22:59:46;2016_06_16__22_59_46_34__SDO_AIA_AIA_171a;
12555;6626;2016-06-16;22:59:46;2016_06_16__22_59_46_34__SDO_AIA_AIA_171b;
12553;6613;2016-06-17;23:00:10;2016_06_17__23_00_10_34__SDO_AIA_AIA_171a;
12555;6626;2016-06-17;23:00:10;2016_06_17__23_00_10_34__SDO_AIA_AIA_171b;
12553;6613;2016-06-18;23:00:10;2016_06_18__23_00_10_34__SDO_AIA_AIA_171;
12553;6613;2016-06-19;23:00:10;2016_06_19__23_00_10_34__SDO_AIA_AIA_171a;
12558;6617;2016-06-19;23:00:10;2016_06_19__23_00_10_34__SDO_AIA_AIA_171b;
12556;6632;2016-06-19;23:00:10;2016_06_19__23_00_10_34__SDO_AIA_AIA_171c;
12553;6613;2016-06-20;23:00:10;2016_06_20__23_00_10_34__SDO_AIA_AIA_171a;
12558;6617;2016-06-20;23:00:10;2016_06_20__23_00_10_34__SDO_AIA_AIA_171b;
12557;6629;2016-06-20;23:00:10;2016_06_20__23_00_10_34__SDO_AIA_AIA_171c;
12556;6632;2016-06-20;23:00:10;2016_06_20__23_00_10_34__SDO_AIA_AIA_171d;
12553;6613;2016-06-21;23:00:10;2016_06_21__23_00_10_34__SDO_AIA_AIA_171a;
12558;6617;2016-06-21;23:00:10;2016_06_21__23_00_10_34__SDO_AIA_AIA_171b;
12556;6632;2016-06-21;23:00:10;2016_06_21__23_00_10_34__SDO_AIA_AIA_171c;
12556;6632;2016-06-22;23:00:10;2016_06_22__23_00_10_34__SDO_AIA_AIA_171;
12556;6632;2016-06-23;22:59:46;2016_06_23__22_59_46_34__SDO_AIA_AIA_171;
0;0;2016-06-24;23:00:10;2016_06_24__23_00_10_35__SDO_AIA_AIA_171;
0;0;2016-06-25;23:00:10;2016_06_25__23_00_10_35__SDO_AIA_AIA_171;
0;0;2016-06-26;23:00:10;2016_06_26__23_00_10_34__SDO_AIA_AIA_171;
0;0;2016-06-27;23:00:10;2016_06_27__23_00_10_34__SDO_AIA_AIA_171;
0;0;2016-06-28;23:00:10;2016_06_28__23_00_10_34__SDO_AIA_AIA_171;
0;0;2016-06-29;22:59:58;2016_06_29__22_59_58_34__SDO_AIA_AIA_171;
0;0;2016-06-30;22:59:46;2016_06_30__22_59_46_34__SDO_AIA_AIA_171;
12570;6688 or 6693;2016-08-01;23:00:10;2016_08_01__23_00_10_34__SDO_AIA_AIA_171;
12571;6692;2016-08-10;16:00:10;2016_08_10__16_00_10_35__SDO_AIA_AIA_171a;
12574;6699;2016-08-10;16:00:10;2016_08_10__16_00_10_35__SDO_AIA_AIA_171b;
12576;6703;2016-08-10;16:00:10;2016_08_10__16_00_10_35__SDO_AIA_AIA_171c;
12571;6692;2016-08-10;23:00:10;2016_08_10__23_00_10_35__SDO_AIA_AIA_171a;
12574;6699;2016-08-10;23:00:10;2016_08_10__23_00_10_35__SDO_AIA_AIA_171b;
12576;6703;2016-08-10;23:00:10;2016_08_10__23_00_10_35__SDO_AIA_AIA_171c;
12571;6692;2016-08-11;23:00:10;2016_08_11__23_00_10_34__SDO_AIA_AIA_171a;
12575;6699;2016-08-11;23:00:10;2016_08_11__23_00_10_34__SDO_AIA_AIA_171b;
12576;6703;2016-08-11;23:00:10;2016_08_11__23_00_10_34__SDO_AIA_AIA_171c;
12575;6699;2016-08-12;22:59:46;2016_08_12__22_59_46_35__SDO_AIA_AIA_171a;
12576;6703;2016-08-12;22:59:46;2016_08_12__22_59_46_35__SDO_AIA_AIA_171c;
12577;6699;2016-08-12;22:59:46;2016_08_12__22_59_46_35__SDO_AIA_AIA_171b;
12576;6703;2016-08-13;22:59:46;2016_08_13__22_59_46_35__SDO_AIA_AIA_171a;
12577;6699;2016-08-13;22:59:46;2016_08_13__22_59_46_35__SDO_AIA_AIA_171b;
12576;6703;2016-08-14;23:00:10;2016_08_14__23_00_10_35__SDO_AIA_AIA_171a;
12577;6699;2016-08-14;23:00:10;2016_08_14__23_00_10_35__SDO_AIA_AIA_171b;
12576;6703;2016-08-15;23:00:10;2016_08_15__23_00_10_35__SDO_AIA_AIA_171a;
12577;6699;2016-08-15;23:00:10;2016_08_15__23_00_10_35__SDO_AIA_AIA_171b;
12576;6703;2016-08-16;23:00:10;2016_08_16__23_00_10_35__SDO_AIA_AIA_171a;
12577;6699;2016-08-16;23:00:10;2016_08_16__23_00_10_35__SDO_AIA_AIA_171b;
12578;6711;2016-08-16;23:00:10;2016_08_16__23_00_10_35__SDO_AIA_AIA_171c;
12576;6703;2016-08-17;23:00:10;2016_08_17__23_00_10_35__SDO_AIA_AIA_171a;
12577;6699;2016-08-17;23:00:10;2016_08_17__23_00_10_35__SDO_AIA_AIA_171b;
12578;6711;2016-08-17;23:00:10;2016_08_17__23_00_10_35__SDO_AIA_AIA_171c;
12576;6703;2016-08-18;23:00:10;2016_08_18__23_00_10_35__SDO_AIA_AIA_171a;
12577;6699;2016-08-18;23:00:10;2016_08_18__23_00_10_35__SDO_AIA_AIA_171b;
12578;6711;2016-08-18;23:00:10;2016_08_18__23_00_10_35__SDO_AIA_AIA_171c;
12576;6703;2016-08-19;23:00:10;2016_08_19__23_00_10_35__SDO_AIA_AIA_171a;
12574;6699;2016-08-19;23:00:10;2016_08_19__23_00_10_35__SDO_AIA_AIA_171b;
12578;6711;2016-08-19;23:00:10;2016_08_19__23_00_10_35__SDO_AIA_AIA_171c;
12576;6703;2016-08-20;23:00:10;2016_08_20__23_00_10_34__SDO_AIA_AIA_171a;
12578;6711;2016-08-20;23:00:10;2016_08_20__23_00_10_34__SDO_AIA_AIA_171b;
12578;6711;2016-08-21;22:59:58;2016_08_21__22_59_58_35__SDO_AIA_AIA_171;
12578;6711;2016-08-22;23:00:10;2016_08_22__23_00_10_35__SDO_AIA_AIA_171;
12578;6711;2016-08-23;22:59:58;2016_08_23__22_59_58_35__SDO_AIA_AIA_171a;
12579;6716;2016-08-23;22:59:58;2016_08_23__22_59_58_35__SDO_AIA_AIA_171b;
12580;6715;2016-08-23;22:59:58;2016_08_23__22_59_58_35__SDO_AIA_AIA_171c;
12578;6711;2016-08-24;23:00:10;2016_08_24__23_00_10_34__SDO_AIA_AIA_171a;
12579;6716;2016-08-24;23:00:10;2016_08_24__23_00_10_34__SDO_AIA_AIA_171b;
12580;6715;2016-08-24;23:00:10;2016_08_24__23_00_10_34__SDO_AIA_AIA_171c;
12578;6711;2016-08-25;22:59:46;2016_08_25__22_59_46_35__SDO_AIA_AIA_171a;
12579;6716;2016-08-25;22:59:46;2016_08_25__22_59_46_35__SDO_AIA_AIA_171b;
12580;6715;2016-08-25;22:59:46;2016_08_25__22_59_46_35__SDO_AIA_AIA_171c;
12581;6722;2016-08-26;22:59:46;2016_08_26__22_59_46_35__SDO_AIA_AIA_171c;
12579;6716;2016-08-26;22:59:46;2016_08_26__22_59_46_35__SDO_AIA_AIA_171a;
12580;6715;2016-08-26;22:59:46;2016_08_26__22_59_46_35__SDO_AIA_AIA_171b;
12581;6722;2016-08-27;22:59:58;2016_08_27__22_59_58_35__SDO_AIA_AIA_171c;
12579;6716;2016-08-27;22:59:58;2016_08_27__22_59_58_35__SDO_AIA_AIA_171a;
12580;6715;2016-08-27;22:59:58;2016_08_27__22_59_58_35__SDO_AIA_AIA_171b;
12581;6722;2016-08-28;23:00:10;2016_08_28__23_00_10_35__SDO_AIA_AIA_171b;
12582;6716;2016-08-28;23:00:10;2016_08_28__23_00_10_35__SDO_AIA_AIA_171c;
12580;6715;2016-08-28;23:00:10;2016_08_28__23_00_10_35__SDO_AIA_AIA_171a;
12581;6722;2016-08-29;23:00:10;2016_08_29__23_00_10_35__SDO_AIA_AIA_171b;
12582;6716;2016-08-29;23:00:10;2016_08_29__23_00_10_35__SDO_AIA_AIA_171c;
12580;6715;2016-08-29;23:00:10;2016_08_29__23_00_10_35__SDO_AIA_AIA_171a;
12581;6722;2016-08-30;23:00:10;2016_08_30__23_00_10_35__SDO_AIA_AIA_171b;
12582;6716;2016-08-30;23:00:10;2016_08_30__23_00_10_35__SDO_AIA_AIA_171c;
12580;6715;2016-08-30;23:00:10;2016_08_30__23_00_10_35__SDO_AIA_AIA_171a;
12581;6722;2016-08-31;22:59:46;2016_08_31__22_59_46_35__SDO_AIA_AIA_171b;
12580;6715;2016-08-31;22:59:46;2016_08_31__22_59_46_35__SDO_AIA_AIA_171a;
12560;6657;2016-07-06;22:59:58;2016_07_06__22_59_58_34__SDO_AIA_AIA_171;
12562;6662;2016-07-07;22:59:46;2016_07_07__22_59_46_35__SDO_AIA_AIA_171;
12563;6664;2016-07-07;22:59:46;2016_07_07__22_59_46_35__SDO_AIA_AIA_171_2;
12560;6657;2016-07-07;22:59:46;2016_07_07__22_59_46_35__SDO_AIA_AIA_171_3;
12561;6661;2016-07-07;22:59:46;2016_07_07__22_59_46_35__SDO_AIA_AIA_171_4;
12561;6661;2016-07-08;23:00:10;2016_07_08__23_00_10_35__SDO_AIA_AIA_171_2;
12562;6662;2016-07-08;23:00:10;2016_07_08__23_00_10_35__SDO_AIA_AIA_171;
12563;6664;2016-07-09;22:59:46;2016_07_09__22_59_46_35__SDO_AIA_AIA_171;
12564;6666;2016-07-09;22:59:46;2016_07_09__22_59_46_35__SDO_AIA_AIA_171_2;
12562;6662;2016-07-09;22:59:46;2016_07_09__22_59_46_35__SDO_AIA_AIA_171_3;
12561;6661;2016-07-09;22:59:46;2016_07_09__22_59_46_35__SDO_AIA_AIA_171_4;
12564;6666;2016-07-10;23:00:10;2016_07_10__23_00_10_34__SDO_AIA_AIA_171;
12563;6664;2016-07-10;23:00:10;2016_07_10__23_00_10_34__SDO_AIA_AIA_171_2;
12562;6662;2016-07-10;23:00:10;2016_07_10__23_00_10_34__SDO_AIA_AIA_171_3;
12564;6666;2016-07-11;23:00:10;2016_07_11__23_00_10_34__SDO_AIA_AIA_171;
12563;6664;2016-07-11;23:00:10;2016_07_11__23_00_10_34__SDO_AIA_AIA_171_2;
12562;6662;2016-07-11;23:00:10;2016_07_11__23_00_10_34__SDO_AIA_AIA_171_3;
12565;6670;2016-07-12;22:59:58;2016_07_12__22_59_58_34__SDO_AIA_AIA_171_4;
12564;6666;2016-07-12;22:59:58;2016_07_12__22_59_58_34__SDO_AIA_AIA_171_3;
12563;6664;2016-07-12;22:59:58;2016_07_12__22_59_58_34__SDO_AIA_AIA_171;
12562;6662;2016-07-12;22:59:58;2016_07_12__22_59_58_34__SDO_AIA_AIA_171_2;
12564;6666;2016-07-13;23:00:10;2016_07_13__23_00_10_34__SDO_AIA_AIA_171;
12565;6670;2016-07-13;23:00:10;2016_07_13__23_00_10_34__SDO_AIA_AIA_171_2;
12565;6670;2016-07-14;22:59:46;2016_07_14__22_59_46_34__SDO_AIA_AIA_171;
12564;6666;2016-07-14;22:59:46;2016_07_14__22_59_46_34__SDO_AIA_AIA_171_2;
12562;6662;2016-07-14;22:59:46;2016_07_14__22_59_46_34__SDO_AIA_AIA_171_3;
12565;6670;2016-07-15;23:00:10;2016_07_15__23_00_10_34__SDO_AIA_AIA_171_2;
12564;6666;2016-07-15;23:00:10;2016_07_15__23_00_10_34__SDO_AIA_AIA_171;
12568;6681;2016-07-16;23:00:10;2016_07_16__23_00_10_34__SDO_AIA_AIA_171;
12562;6662;2016-07-16;23:00:10;2016_07_16__23_00_10_34__SDO_AIA_AIA_171_2;
12567;6670;2016-07-17;23:00:10;2016_07_17__23_00_10_34__SDO_AIA_AIA_171;
12565;6670;2016-07-17;23:00:10;2016_07_17__23_00_10_34__SDO_AIA_AIA_171_2;
12567;6670;2016-07-18;23:00:10;2016_07_18__23_00_10_34__SDO_AIA_AIA_171_2;
12565;6670;2016-07-18;23:00:10;2016_07_18__23_00_10_34__SDO_AIA_AIA_171;
12569;6683;2016-07-19;22:59:58;2016_07_19__22_59_58_34__SDO_AIA_AIA_171;
12569;6683;2016-07-20;23:00:10;2016_07_20__23_00_10_34__SDO_AIA_AIA_171;
12567;6670;2016-07-20;23:00:10;2016_07_20__23_00_10_34__SDO_AIA_AIA_171_2;
12569;6683;2016-07-21;22:59:58;2016_07_21__22_59_58_34__SDO_AIA_AIA_171;
12567;6670;2016-07-21;22:59:58;2016_07_21__22_59_58_34__SDO_AIA_AIA_171_3;
12565;6670;2016-07-21;22:59:58;2016_07_21__22_59_58_34__SDO_AIA_AIA_171_2;
12569;6683;2016-07-22;22:59:46;2016_07_22__22_59_46_34__SDO_AIA_AIA_171;
12567;6670;2016-07-22;22:59:46;2016_07_22__22_59_46_34__SDO_AIA_AIA_171_2;
12565;6670;2016-07-22;22:59:46;2016_07_22__22_59_46_34__SDO_AIA_AIA_171_3;
12565;6670;2016-07-23;22:59:58;2016_07_23__22_59_58_34__SDO_AIA_AIA_171_2;
12567;6670;2016-07-23;22:59:58;2016_07_23__22_59_58_34__SDO_AIA_AIA_171;
12570;6688;2016-07-29;23:00:10;2016_07_29__23_00_10_35__SDO_AIA_AIA_171;
12570;6688;2016-07-30;23:00:10;2016_07_30__23_00_10_35__SDO_AIA_AIA_171;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
